停留所コード,停留所名,緯度,経度
240,吉江七曲り通り前,35.987221,136.17038
241,西番,35.988052,136.168549
242,平和台団地,35.993099,136.170135
243,近松会館（北）,35.988445,136.174133
244,丸山町４丁目,35.984409,136.17688
245,中杉本ふれあい会館,35.982357,136.175598
246,近松の里たちまち　 立待公民館,35.982731,136.172928
247,杉本,35.978962,136.174591
248,糺町,35.977779,136.175659
249,ふくしん神明支店前（三六町２丁目）（北）,35.972862,136.179453
250,公立丹南病院（２番のりば）,35.969696,136.178467
251,近松会館（南）,35.988289,136.17424
252,西石田（北）,35.973412,136.150635
253,石田中（北）,35.97324,136.158859
254,西公園前（北）,35.973148,136.162842
255,みどり町（北）,35.972954,136.174911
256,神明苑,35.972324,136.182953
257,神明駅,35.972846,136.181591
258,ふくしん神明支店前（三六町２丁目）（南）,35.972778,136.179367
259,三六連隊跡神明　神明公民館（東）,35.970745,136.178726
260,公立丹南病院（１番のりば）,35.969646,136.178543
261,北野町２丁目（東）,35.967941,136.17865
262,北野町１丁目（東）,35.964226,136.178604
263,北野口（南）,35.963867,136.176117
264,平井（南）,35.964085,136.166397
265,吉川なす発祥の地吉川　吉川公民館,35.962898,136.157623
266,吉田,35.95982,136.157867
267,あすなろ,35.95562,136.15538
268,朝霞（南）,35.955498,136.14975
269,西和,35.955456,136.144699
270,西大井,35.958103,136.138412
271,持明寺,35.960049,136.1465
272,持明寺北,35.962456,136.147003
273,川去,35.964573,136.142197
274,川去町集落センター前,35.965767,136.143768
275,田村,35.963787,136.148544
276,吉川駐在所前,35.964012,136.157211
277,大倉,35.965446,136.157547
278,小泉,35.968365,136.157791
279,石田中（北）,35.973228,136.158844
280,西公園前（北）,35.973137,136.162857
281,小泉団地,35.968723,136.161011
282,平井（北）,35.964165,136.166473
283,北野口（北）,35.964136,136.176518
284,北野町１丁目（西）,35.964123,136.178513
285,北野町２丁目（西）,35.967922,136.178528
286,公立丹南病院（２番のりば）,35.969696,136.178467
287,三六連隊跡神明　神明公民館（西）,35.970837,136.178604
288,ふくしん神明支店前（三六町２丁目）（北）,35.972878,136.179428
292,JR鯖江駅（１番のりば）,35.943321,136.188187
293,本町1丁目（西）,35.9445,136.185135
294,本町２丁目（西）,35.945843,136.185242
295,市民ホールつつじ前（本山前）（南）,35.9464,136.184525
296,西鯖江駅前（南）,35.946854,136.182327
297,嚮陽会館（南）,35.947067,136.180054
298,有定町２丁目（東）,35.945572,136.176437
299,青武台,35.939556,136.172668
300,福井高専,35.937702,136.171204
301,下司,35.94112,136.1689
302,鳥井,35.942539,136.16774
303,丹南高校,35.95318,136.168928
304,熊田（南）,35.948353,136.166306
305,当田町公民館,35.947819,136.163574
306,下氏家町集落センター,35.946129,136.154831
307,花と緑のまち豊　豊公民館,35.945745,136.151966
308,豊小学校前,35.94392,136.151825
